wavelength,amplitude
2.796930000000e+03,1.100000000000e+02
2.809720000000e+03,9.000000000000e+01
2.999040000000e+03,1.400000000000e+02
3.010130000000e+03,2.500000000000e+02
3.027600000000e+03,2.000000000000e+02
3.032840000000e+03,2.500000000000e+02
3.034050000000e+03,2.000000000000e+02
3.068640000000e+03,1.100000000000e+02
3.076920000000e+03,7.000000000000e+01
3.081990000000e+03,2.500000000000e+02
3.100500000000e+03,4.000000000000e+02
3.102550000000e+03,7.000000000000e+01
3.145000000000e+03,1.100000000000e+02
3.156530000000e+03,1.100000000000e+02
3.161370000000e+03,1.100000000000e+02
3.223740000000e+03,8.000000000000e+01
3.331380000000e+03,1.500000000000e+02
3.332130000000e+03,9.000000000000e+01
3.336180000000e+03,1.300000000000e+02
3.345980000000e+03,7.000000000000e+01
3.350470000000e+03,6.000000000000e+02
3.358620000000e+03,5.000000000000e+02
3.360710000000e+03,9.000000000000e+01
3.362230000000e+03,6.000000000000e+02
3.392530000000e+03,1.300000000000e+02
3.407560000000e+03,1.300000000000e+02
3.416950000000e+03,1.500000000000e+02
3.418730000000e+03,1.500000000000e+02
3.422470000000e+03,8.000000000000e+02
3.424590000000e+03,9.000000000000e+01
3.432990000000e+03,8.000000000000e+01
3.439210000000e+03,2.000000000000e+02
3.439780000000e+03,9.000000000000e+01
3.439990000000e+03,3.000000000000e+02
3.450380000000e+03,1.500000000000e+02
3.451230000000e+03,1.300000000000e+02
3.454900000000e+03,1.000000000000e+02
3.463980000000e+03,3.000000000000e+02
3.467270000000e+03,2.000000000000e+02
3.468990000000e+03,2.000000000000e+02
3.473220000000e+03,1.500000000000e+02
3.481280000000e+03,2.500000000000e+02
3.481800000000e+03,2.000000000000e+02
3.491950000000e+03,1.100000000000e+02
3.494400000000e+03,2.000000000000e+02
3.505510000000e+03,1.500000000000e+02
3.512220000000e+03,9.000000000000e+01
3.512500000000e+03,1.300000000000e+02
3.524200000000e+03,1.100000000000e+02
3.545800000000e+03,5.000000000000e+02
3.549360000000e+03,4.000000000000e+02
3.557050000000e+03,1.500000000000e+02
3.571930000000e+03,8.000000000000e+01
3.581910000000e+03,1.100000000000e+02
3.584960000000e+03,6.000000000000e+02
3.592710000000e+03,1.300000000000e+02
3.608750000000e+03,9.000000000000e+01
3.610760000000e+03,9.000000000000e+01
3.645620000000e+03,1.000000000000e+02
3.646190000000e+03,7.000000000000e+02
3.652540000000e+03,7.000000000000e+01
3.654620000000e+03,4.000000000000e+02
3.656150000000e+03,4.000000000000e+02
3.662260000000e+03,1.500000000000e+02
3.664600000000e+03,3.000000000000e+02
3.671200000000e+03,2.500000000000e+02
3.686330000000e+03,8.000000000000e+01
3.687740000000e+03,4.000000000000e+02
3.697730000000e+03,2.500000000000e+02
3.699730000000e+03,1.500000000000e+02
3.712700000000e+03,3.000000000000e+02
3.716360000000e+03,1.500000000000e+02
3.719450000000e+03,2.000000000000e+02
3.730840000000e+03,1.500000000000e+02
3.743470000000e+03,5.000000000000e+02
3.758310000000e+03,1.500000000000e+02
3.759000000000e+03,9.000000000000e+01
3.760710000000e+03,7.000000000000e+01
3.767040000000e+03,1.000000000000e+02
3.768390000000e+03,1.000000000000e+03
3.769450000000e+03,7.000000000000e+01
3.770690000000e+03,1.500000000000e+02
3.782340000000e+03,1.100000000000e+02
3.787560000000e+03,1.300000000000e+02
3.791170000000e+03,9.000000000000e+01
3.796370000000e+03,6.000000000000e+02
3.801290000000e+03,8.000000000000e+01
3.813970000000e+03,4.000000000000e+02
3.816640000000e+03,9.000000000000e+01
3.836910000000e+03,1.100000000000e+02
3.839640000000e+03,1.100000000000e+02
3.842200000000e+03,1.400000000000e+02
3.844580000000e+03,1.500000000000e+02
3.850690000000e+03,4.000000000000e+02
3.850970000000e+03,6.000000000000e+02
3.852450000000e+03,5.000000000000e+02
3.894700000000e+03,1.500000000000e+02
3.902400000000e+03,9.000000000000e+01
3.916510000000e+03,2.500000000000e+02
3.957670000000e+03,1.400000000000e+02
3.959440000000e+03,9.000000000000e+01
3.968260000000e+03,7.000000000000e+01
3.973980000000e+03,7.000000000000e+01
3.994160000000e+03,7.000000000000e+01
3.996320000000e+03,8.000000000000e+01
4.037330000000e+03,1.500000000000e+02
4.037900000000e+03,8.000000000000e+01
4.049430000000e+03,1.500000000000e+02
4.049860000000e+03,2.500000000000e+02
4.053290000000e+03,9.000000000000e+01
4.062590000000e+03,7.000000000000e+01
4.063390000000e+03,2.000000000000e+02
4.070290000000e+03,9.000000000000e+01
4.073200000000e+03,7.000000000000e+01
4.078440000000e+03,1.500000000000e+02
4.085560000000e+03,1.500000000000e+02
4.098610000000e+03,3.000000000000e+02
4.130370000000e+03,2.500000000000e+02
4.132280000000e+03,1.300000000000e+02
4.184250000000e+03,3.000000000000e+02
4.191070000000e+03,9.000000000000e+01
4.204860000000e+03,7.000000000000e+01
4.212000000000e+03,1.500000000000e+02
4.215020000000e+03,1.100000000000e+02
4.217200000000e+03,7.000000000000e+01
4.238780000000e+03,7.000000000000e+01
4.251730000000e+03,2.000000000000e+02
4.253370000000e+03,1.000000000000e+02
4.253610000000e+03,7.000000000000e+01
4.280490000000e+03,1.000000000000e+02
4.321110000000e+03,9.000000000000e+01
4.325570000000e+03,3.000000000000e+02
4.342180000000e+03,1.000000000000e+02
4.344300000000e+03,1.100000000000e+02
